id,geo,time,advance,totalSessions,organicSearchSessions,channel0_impression,channel1_impression,channel2_impression,channel3_impression,channel4_impression,channel0_spend,channel1_spend,channel2_spend,channel3_spend,channel4_spend
22,National,2025-01-22,633,123619,54518,246072,242985,241974,242919,210478,140000,140000,70000,70000,50000
23,National,2025-01-23,672,126132,52256,214525,217144,210723,207346,201004,140000,140000,70000,70000,50000
24,National,2025-01-24,584,117878,46722,226856,236107,202438,212125,203201,140000,140000,70000,70000,50000
25,National,2025-01-25,625,94916,39249,245078,243222,210050,244044,229567,140000,140000,70000,70000,50000
26,National,2025-01-26,552,88869,38038,215982,219596,230998,234306,207999,140000,140000,70000,70000,50000
27,National,2025-01-27,432,83446,34108,220458,239146,236411,231052,209941,140000,140000,70000,70000,50000
28,National,2025-01-28,326,83196,28503,206028,206723,208136,240658,223044,140000,140000,70000,70000,50000
29,National,2025-01-29,327,79751,30730,221280,237360,237670,205375,245416,140000,140000,70000,70000,50000
30,National,2025-01-30,441,88762,36038,208407,243895,208339,203712,245303,140000,140000,70000,70000,50000
31,National,2025-01-31,613,104103,38820,204599,210219,245638,236525,205827,140000,140000,70000,70000,50000
32,National,2025-02-01,815,109284,43591,226033,214778,221751,208425,244997,140000,140000,70000,70000,50000
33,National,2025-02-02,738,121892,50652,209261,241789,248513,221015,205838,140000,140000,70000,70000,50000
34,National,2025-02-03,772,138880,60631,214796,210568,227166,244948,237075,140000,140000,70000,70000,50000
35,National,2025-02-04,871,148676,64283,215202,220714,236456,222031,244376,140000,140000,70000,70000,50000
36,National,2025-02-05,919,148455,63711,234082,211030,246222,241860,239564,140000,140000,70000,70000,50000
37,National,2025-02-06,885,153087,69423,234263,223175,235062,234935,246207,140000,140000,70000,70000,50000
38,National,2025-02-07,914,163242,68574,212022,238336,218072,227659,212444,140000,140000,70000,70000,50000
39,National,2025-02-08,961,145516,63015,248037,235032,237054,221906,200977,140000,140000,70000,70000,50000
40,National,2025-02-09,967,141490,60065,213659,204575,248519,202664,212592,140000,140000,70000,70000,50000
41,National,2025-02-10,973,168811,77769,229879,225523,236411,226544,212800,140000,140000,70000,70000,50000
42,National,2025-02-11,919,174848,74765,235901,221019,247895,208784,221598,140000,140000,70000,70000,50000
43,National,2025-02-12,976,164880,72771,222547,210021,240512,233904,223201,140000,140000,70000,70000,50000
44,National,2025-02-13,867,155000,70580,214908,244243,247940,203093,223159,140000,140000,70000,70000,50000
45,National,2025-02-14,1060,171008,71980,244176,223778,233991,213844,226443,140000,140000,70000,70000,50000
46,National,2025-02-15,1111,154029,64572,248173,215533,224609,201060,248806,140000,140000,70000,70000,50000
47,National,2025-02-16,1112,166667,71643,246747,213381,223946,205741,235600,140000,140000,70000,70000,50000
48,National,2025-02-17,1023,190844,83892,219252,245007,244984,226434,244542,140000,140000,70000,70000,50000
49,National,2025-02-18,1063,194610,81693,200060,215105,206551,230778,228747,140000,140000,70000,70000,50000
50,National,2025-02-19,871,200329,85626,206269,220781,249403,247306,230355,140000,140000,70000,70000,50000
51,National,2025-02-20,1037,189247,77409,222771,207615,243553,216595,222733,140000,140000,70000,70000,50000
52,National,2025-02-21,845,184787,73820,212158,242324,241334,242638,213883,140000,140000,70000,70000,50000
53,National,2025-02-22,1045,176763,66234,217455,222799,230848,212048,214995,140000,140000,70000,70000,50000
54,National,2025-02-23,958,169474,68226,216438,222518,215112,227479,229371,140000,140000,70000,70000,50000
55,National,2025-02-24,867,193897,80912,249241,242525,207782,210284,209015,140000,140000,70000,70000,50000
56,National,2025-02-25,799,195295,75618,242803,241073,218620,200005,203931,140000,140000,70000,70000,50000
57,National,2025-02-26,913,184424,73435,213923,235920,224410,247490,240522,140000,140000,70000,70000,50000
58,National,2025-02-27,906,184059,72819,235162,245077,200224,200178,239898,140000,140000,70000,70000,50000
59,National,2025-02-28,1054,174447,66840,217962,218290,244683,236894,220366,140000,140000,70000,70000,50000
60,National,2025-03-01,1102,170637,66482,223651,248186,215737,237888,248640,140000,140000,70000,70000,50000
61,National,2025-03-02,1020,186436,72208,245697,223183,208437,208626,207845,140000,140000,70000,70000,50000
62,National,2025-03-03,832,198785,83467,240453,222989,222488,216929,213120,140000,140000,70000,70000,50000
63,National,2025-03-04,809,192066,78776,239277,247317,247495,246391,227216,140000,140000,70000,70000,50000
64,National,2025-03-05,913,189393,76840,240480,244479,219908,220808,243591,140000,140000,70000,70000,50000
65,National,2025-03-06,830,187520,81085,242726,202279,238483,209319,218624,140000,140000,70000,70000,50000
66,National,2025-03-07,858,190285,74874,202661,224524,244022,240434,216320,140000,140000,70000,70000,50000
67,National,2025-03-08,1105,156587,65951,249268,201584,238631,224654,248467,140000,140000,70000,70000,50000
68,National,2025-03-09,951,171295,69969,227260,211233,241751,245791,227336,140000,140000,70000,70000,50000
69,National,2025-03-10,844,189235,83971,203640,247137,245558,207474,248015,140000,140000,70000,70000,50000
70,National,2025-03-11,806,192245,79064,206245,216249,210503,214948,220285,140000,140000,70000,70000,50000
71,National,2025-03-12,838,181838,78847,243417,227358,220245,229168,233426,140000,140000,70000,70000,50000
72,National,2025-03-13,812,178632,77493,230795,227819,227173,219967,216387,140000,140000,70000,70000,50000
73,National,2025-03-14,969,194883,79491,204891,235077,213777,246291,229702,140000,140000,70000,70000,50000
74,National,2025-03-15,1049,175708,68168,206031,230101,229264,202662,204403,140000,140000,70000,70000,50000
75,National,2025-03-16,873,177723,70345,240131,233987,209163,212264,214313,140000,140000,70000,70000,50000
76,National,2025-03-17,834,193469,82970,248551,200398,221171,212012,214077,140000,140000,70000,70000,50000
77,National,2025-03-18,765,192026,76484,235631,219370,242851,244715,244436,140000,140000,70000,70000,50000
78,National,2025-03-19,759,193953,77460,210769,207144,204067,228488,243095,140000,140000,70000,70000,50000
79,National,2025-03-20,794,181001,74636,205521,201657,230821,221464,244824,140000,140000,70000,70000,50000
80,National,2025-03-21,828,188657,75159,246625,213852,212173,243649,234306,140000,140000,70000,70000,50000
81,National,2025-03-22,934,168460,67474,204401,218938,242442,222074,200681,140000,140000,70000,70000,50000
82,National,2025-03-23,934,175386,70265,213461,228946,217900,202193,247580,140000,140000,70000,70000,50000
83,National,2025-03-24,988,203309,87784,234630,207617,204058,240701,244266,140000,140000,70000,70000,50000
84,National,2025-03-25,819,204849,81361,223501,208562,212825,212239,225157,140000,140000,70000,70000,50000
85,National,2025-03-26,866,190147,77321,209523,241760,216366,204568,206004,140000,140000,70000,70000,50000
86,National,2025-03-27,806,188772,78075,237553,216571,208886,240341,237914,140000,140000,70000,70000,50000
87,National,2025-03-28,864,187529,72611,239842,229030,243339,218096,243714,140000,140000,70000,70000,50000
88,National,2025-03-29,859,159949,62275,216230,233465,218991,202158,218011,140000,140000,70000,70000,50000
89,National,2025-03-30,699,154753,63240,232113,235525,223181,227042,238371,140000,140000,70000,70000,50000
90,National,2025-03-31,653,175830,71263,232190,210770,235185,210203,221635,140000,140000,70000,70000,50000
91,National,2025-04-01,666,176994,69104,238311,209363,224798,212500,244736,140000,140000,70000,70000,50000
92,National,2025-04-02,703,164380,67296,243426,233790,236319,223995,223667,140000,140000,70000,70000,50000
93,National,2025-04-03,841,154457,57919,208739,213612,201239,217247,206136,140000,140000,70000,70000,50000
94,National,2025-04-04,742,157757,56816,213922,205233,215428,237659,237586,140000,140000,70000,70000,50000
95,National,2025-04-05,757,151989,59597,235463,214607,201402,224985,231744,140000,140000,70000,70000,50000
96,National,2025-04-06,751,148644,61318,236367,235144,209049,225225,209810,140000,140000,70000,70000,50000
97,National,2025-04-07,607,174301,73187,212602,229196,233377,245544,209105,140000,140000,70000,70000,50000
98,National,2025-04-08,601,178829,71740,228951,207134,204175,208731,208323,140000,140000,70000,70000,50000
99,National,2025-04-09,660,166448,68992,231655,230415,236953,242023,249119,140000,140000,70000,70000,50000
100,National,2025-04-10,627,167798,67049,249922,216637,228349,238019,223336,140000,140000,70000,70000,50000
101,National,2025-04-11,622,172006,65298,244654,211533,230917,228354,214632,140000,140000,70000,70000,50000
102,National,2025-04-12,724,155311,64206,242267,238450,230977,200434,209700,140000,140000,70000,70000,50000
103,National,2025-04-13,749,156899,62473,232509,243535,237690,245174,207109,140000,140000,70000,70000,50000
104,National,2025-04-14,728,184576,78704,235879,217467,221310,226028,245210,140000,140000,70000,70000,50000
105,National,2025-04-15,743,190073,76697,211051,203300,240150,229944,220237,140000,140000,70000,70000,50000
106,National,2025-04-16,672,181564,74295,211089,231584,207550,219116,239260,140000,140000,70000,70000,50000
107,National,2025-04-17,678,177597,73411,205511,247182,242427,219154,227762,140000,140000,70000,70000,50000
108,National,2025-04-18,615,181503,74086,201563,249287,208898,249490,212819,140000,140000,70000,70000,50000
109,National,2025-04-19,741,157004,62254,204420,201283,244356,245051,249273,140000,140000,70000,70000,50000
110,National,2025-04-20,731,155783,62909,201046,241847,234900,211375,226023,140000,140000,70000,70000,50000
111,National,2025-04-21,758,179678,78999,210762,235049,234679,211846,244473,140000,140000,70000,70000,50000
112,National,2025-04-22,661,186688,75590,218572,208480,221992,213942,237114,140000,140000,70000,70000,50000
113,National,2025-04-23,671,174439,72275,200089,224535,243484,231024,215258,140000,140000,70000,70000,50000
114,National,2025-04-24,673,175068,74033,248056,210264,202273,220628,230998,140000,140000,70000,70000,50000
115,National,2025-04-25,627,178871,71052,203013,245805,247979,218941,230886,140000,140000,70000,70000,50000
116,National,2025-04-26,767,154967,62941,240256,228555,233147,227764,218830,140000,140000,70000,70000,50000
117,National,2025-04-27,774,154482,64919,239839,216923,214782,202582,209990,140000,140000,70000,70000,50000
118,National,2025-04-28,684,180201,76631,245151,212706,207397,244456,220718,140000,140000,70000,70000,50000
119,National,2025-04-29,733,182207,73051,207725,221445,246694,243742,216334,140000,140000,70000,70000,50000
120,National,2025-04-30,614,167732,68248,220421,212675,229665,228766,214018,140000,140000,70000,70000,50000
121,National,2025-05-01,714,168965,65264,246629,226370,208760,211920,217432,140000,140000,70000,70000,50000
122,National,2025-05-02,672,180928,69114,200661,233584,215913,213238,217761,140000,140000,70000,70000,50000
123,National,2025-05-03,730,159621,59829,237696,227776,236964,242922,208375,140000,140000,70000,70000,50000
124,National,2025-05-04,756,159123,62488,239346,244941,236080,209518,235436,140000,140000,70000,70000,50000
125,National,2025-05-05,610,177612,72558,219904,225679,235141,225669,213706,140000,140000,70000,70000,50000
126,National,2025-05-06,697,183769,69217,245701,204404,232485,249464,212885,140000,140000,70000,70000,50000
127,National,2025-05-07,647,168033,68580,208881,226337,230702,249325,224542,140000,140000,70000,70000,50000
128,National,2025-05-08,683,166242,67598,201512,238350,213807,212620,239809,140000,140000,70000,70000,50000
129,National,2025-05-09,628,177324,68186,200716,245894,223609,217038,214187,140000,140000,70000,70000,50000
130,National,2025-05-10,699,150131,56453,241668,224749,210784,247252,221732,140000,140000,70000,70000,50000
131,National,2025-05-11,734,149410,55152,231141,228149,233014,246098,235482,140000,140000,70000,70000,50000
132,National,2025-05-12,725,181839,76299,227417,227862,207932,246893,237853,140000,140000,70000,70000,50000
133,National,2025-05-13,626,194797,76411,201127,233237,221755,201105,245965,140000,140000,70000,70000,50000
134,National,2025-05-14,601,182156,75756,213481,219372,230650,222818,230589,140000,140000,70000,70000,50000
135,National,2025-05-15,753,182035,75586,228878,210044,221605,230900,218507,140000,140000,70000,70000,50000
136,National,2025-05-16,752,183562,72150,240646,240966,249097,229636,224319,140000,140000,70000,70000,50000
137,National,2025-05-17,811,161921,61480,228946,228591,205587,249423,212539,140000,140000,70000,70000,50000
138,National,2025-05-18,818,171043,63732,201294,241061,207583,243287,222143,140000,140000,70000,70000,50000
139,National,2025-05-19,668,189562,80731,202830,202057,206582,234442,216618,140000,140000,70000,70000,50000
140,National,2025-05-20,668,184963,73374,218093,212810,229594,231679,215519,140000,140000,70000,70000,50000
141,National,2025-05-21,680,176090,72738,218973,247161,213843,214581,217051,140000,140000,70000,70000,50000
142,National,2025-05-22,701,176897,68690,209852,240116,242252,225393,247371,140000,140000,70000,70000,50000
143,National,2025-05-23,715,180985,68809,204823,232816,234448,223590,225264,140000,140000,70000,70000,50000
144,National,2025-05-24,766,160856,57052,218288,202366,233924,244641,249977,140000,140000,70000,70000,50000
145,National,2025-05-25,689,160575,59435,227457,211092,213366,229258,211434,140000,140000,70000,70000,50000
146,National,2025-05-26,642,173585,71010,232630,216512,204019,241571,224613,140000,140000,70000,70000,50000
147,National,2025-05-27,648,179804,66720,242603,230939,234164,232978,205289,140000,140000,70000,70000,50000
148,National,2025-05-28,657,172363,67985,238683,215676,236815,213966,229634,140000,140000,70000,70000,50000
149,National,2025-05-29,657,168917,61889,235469,201357,222180,206127,228230,140000,140000,70000,70000,50000
150,National,2025-05-30,720,157259,57763,229393,226520,247796,210624,200924,140000,140000,70000,70000,50000
151,National,2025-05-31,607,155661,58027,224019,222911,238826,230620,224049,140000,140000,70000,70000,50000
152,National,2025-06-01,741,191037,64267,206137,233264,208486,200707,231637,140000,140000,70000,70000,50000
153,National,2025-06-02,689,200613,77376,247000,202419,247716,211696,206935,140000,140000,70000,70000,50000
154,National,2025-06-03,573,193763,72055,233760,202900,238959,245754,207295,140000,140000,70000,70000,50000
155,National,2025-06-04,664,183072,70087,219235,200483,204733,226014,230136,140000,140000,70000,70000,50000
156,National,2025-06-05,596,173630,70348,232916,206780,223723,203748,232892,140000,140000,70000,70000,50000
157,National,2025-06-06,655,181653,68543,247301,219841,212965,202890,223789,140000,140000,70000,70000,50000
158,National,2025-06-07,744,150921,60327,213247,202825,223751,236413,247619,140000,140000,70000,70000,50000
159,National,2025-06-08,852,167673,62866,215301,237452,212049,214484,229077,140000,140000,70000,70000,50000
160,National,2025-06-09,676,190461,79752,208345,205791,236911,224569,235395,140000,140000,70000,70000,50000
161,National,2025-06-10,643,183163,72036,230846,247323,241892,242957,233118,140000,140000,70000,70000,50000
162,National,2025-06-11,600,170752,69387,238522,227698,204806,233750,233707,140000,140000,70000,70000,50000
163,National,2025-06-12,689,173006,68519,201450,243127,216818,242469,201630,140000,140000,70000,70000,50000
164,National,2025-06-13,560,167908,65991,210730,241604,239993,200949,217246,140000,140000,70000,70000,50000
165,National,2025-06-14,719,160941,58387,218959,242815,225262,220970,215863,140000,140000,70000,70000,50000
166,National,2025-06-15,691,163807,62102,215956,206665,245158,227501,232858,140000,140000,70000,70000,50000
167,National,2025-06-16,616,188272,75961,213806,205030,249472,220208,242628,140000,140000,70000,70000,50000
168,National,2025-06-17,732,179049,71247,229220,224802,209874,237420,225674,140000,140000,70000,70000,50000
169,National,2025-06-18,662,169527,67832,224210,207852,223637,201075,243413,140000,140000,70000,70000,50000
170,National,2025-06-19,624,175481,70035,244874,209581,248630,231173,206819,140000,140000,70000,70000,50000
171,National,2025-06-20,706,173364,69782,212292,232068,236188,225244,237563,140000,140000,70000,70000,50000
172,National,2025-06-21,702,158696,59573,245897,202101,205945,239540,227476,140000,140000,70000,70000,50000
173,National,2025-06-22,726,158871,60835,231250,209560,229131,241016,230432,140000,140000,70000,70000,50000
174,National,2025-06-23,574,178037,74862,204594,235698,215851,212408,228861,140000,140000,70000,70000,50000
175,National,2025-06-24,645,175244,70025,206374,245868,241424,211968,228455,140000,140000,70000,70000,50000
176,National,2025-06-25,575,166542,67884,219736,208307,226186,200909,247579,140000,140000,70000,70000,50000
177,National,2025-06-26,555,163774,66160,211142,228932,203118,201555,218561,140000,140000,70000,70000,50000
178,National,2025-06-27,560,161682,65448,214052,203102,226602,207052,237827,140000,140000,70000,70000,50000
179,National,2025-06-28,652,144527,56279,230561,209653,238554,238038,226237,140000,140000,70000,70000,50000
180,National,2025-06-29,695,150719,57267,229923,213159,210921,228936,244934,140000,140000,70000,70000,50000
181,National,2025-06-30,617,157983,68361,214128,212044,200626,201266,213327,140000,140000,70000,70000,50000
182,National,2025-07-01,605,162197,69358,235650,228137,202442,221106,230030,140000,140000,70000,70000,50000
183,National,2025-07-02,519,168375,69625,225166,216649,216886,208330,214560,140000,140000,70000,70000,50000
184,National,2025-07-03,590,163733,66725,221131,237721,235150,247424,203591,140000,140000,70000,70000,50000
185,National,2025-07-04,538,161840,64490,225973,214677,202531,204949,237190,140000,140000,70000,70000,50000
186,National,2025-07-05,610,145486,54218,202488,239054,222045,246029,221866,140000,140000,70000,70000,50000
187,National,2025-07-06,567,146091,53688,239086,241946,246643,200049,233188,140000,140000,70000,70000,50000
188,National,2025-07-07,576,152271,58547,209183,226981,207262,240844,224950,140000,140000,70000,70000,50000
189,National,2025-07-08,617,171497,68332,242965,230854,234061,247177,201150,140000,140000,70000,70000,50000
190,National,2025-07-09,524,163449,66182,233374,209920,218850,239967,248840,140000,140000,70000,70000,50000
191,National,2025-07-10,580,163953,65123,229345,243120,220614,228656,243795,140000,140000,70000,70000,50000
192,National,2025-07-11,547,154265,63946,209834,248509,240795,215480,202803,140000,140000,70000,70000,50000
193,National,2025-07-12,707,142600,55276,227851,215317,222198,229475,238981,140000,140000,70000,70000,50000
194,National,2025-07-13,704,145722,56725,228260,249779,235140,241128,210841,140000,140000,70000,70000,50000
195,National,2025-07-14,561,174007,71614,233551,222615,217624,214809,213110,140000,140000,70000,70000,50000
196,National,2025-07-15,563,175098,69463,220349,227516,208940,238872,234725,140000,140000,70000,70000,50000
197,National,2025-07-16,586,167260,65330,218968,237730,207173,228382,212963,140000,140000,70000,70000,50000
198,National,2025-07-17,560,163768,66541,225577,203380,248179,227989,227872,140000,140000,70000,70000,50000
199,National,2025-07-18,650,162317,62674,238444,247807,207037,247032,228127,140000,140000,70000,70000,50000
200,National,2025-07-19,716,146996,54374,245195,201051,235198,222742,206618,140000,140000,70000,70000,50000
201,National,2025-07-20,734,153773,55031,223422,239231,229364,234840,238103,140000,140000,70000,70000,50000
202,National,2025-07-21,603,170009,69010,200367,200766,247870,235167,240584,140000,140000,70000,70000,50000
203,National,2025-07-22,658,166299,68221,237095,205963,224642,206961,234382,140000,140000,70000,70000,50000
204,National,2025-07-23,607,161022,66580,248660,227793,207706,217792,216949,140000,140000,70000,70000,50000
205,National,2025-07-24,576,159267,63071,221873,218142,239845,234763,211064,140000,140000,70000,70000,50000
206,National,2025-07-25,575,163218,59185,207808,206576,237708,218696,246921,140000,140000,70000,70000,50000
207,National,2025-07-26,624,136264,48599,213989,243829,237107,246107,228823,140000,140000,70000,70000,50000
208,National,2025-07-27,654,151610,54139,200071,207065,220730,217098,201224,140000,140000,70000,70000,50000
209,National,2025-07-28,625,169355,65946,231100,227667,205067,249034,238790,140000,140000,70000,70000,50000
210,National,2025-07-29,566,160752,59914,230160,232491,247530,227920,201817,140000,140000,70000,70000,50000
211,National,2025-07-30,558,153346,60785,208794,219677,225170,231008,212237,140000,140000,70000,70000,50000
212,National,2025-07-31,712,156618,58916,231568,200569,245022,243567,202758,140000,140000,70000,70000,50000
213,National,2025-08-01,656,159674,58379,240677,219286,240317,203386,237187,140000,140000,70000,70000,50000
214,National,2025-08-02,667,150085,50987,207777,227394,234080,234762,248993,140000,140000,70000,70000,50000
215,National,2025-08-03,723,146988,53075,237139,213094,207515,215348,232170,140000,140000,70000,70000,50000
216,National,2025-08-04,564,169279,66238,210152,223264,213826,216345,214111,140000,140000,70000,70000,50000
217,National,2025-08-05,562,164495,65389,209384,228818,217628,236739,226745,140000,140000,70000,70000,50000
218,National,2025-08-06,604,159448,60031,226205,211720,239303,211041,206939,140000,140000,70000,70000,50000
219,National,2025-08-07,591,158861,58772,200733,206752,220776,209570,216847,140000,140000,70000,70000,50000
220,National,2025-08-08,535,157105,58655,219525,206656,232124,208651,206068,140000,140000,70000,70000,50000
221,National,2025-08-09,625,148204,52995,209504,205150,221899,249056,219154,140000,140000,70000,70000,50000
222,National,2025-08-10,675,157924,56801,227443,219568,228328,215200,207467,140000,140000,70000,70000,50000
223,National,2025-08-11,592,168943,64587,240962,245271,236001,211717,210754,140000,140000,70000,70000,50000
224,National,2025-08-12,551,157297,58940,234023,212448,214213,225924,205240,140000,140000,70000,70000,50000
225,National,2025-08-13,615,158799,56220,224318,239318,204936,232677,242995,140000,140000,70000,70000,50000
226,National,2025-08-14,694,163977,61878,246727,237942,222465,228055,248664,140000,140000,70000,70000,50000
227,National,2025-08-15,602,173879,60413,243921,238059,217271,237310,210106,140000,140000,70000,70000,50000
228,National,2025-08-16,693,163182,53036,235028,231308,238820,209370,207780,140000,140000,70000,70000,50000
229,National,2025-08-17,660,165472,53848,244609,240434,217606,220592,209236,140000,140000,70000,70000,50000
230,National,2025-08-18,630,193551,69853,240037,206430,209270,209582,209288,140000,140000,70000,70000,50000
231,National,2025-08-19,584,180808,64372,234156,224868,245352,240294,249829,140000,140000,70000,70000,50000
232,National,2025-08-20,569,178037,62997,217057,212438,233345,239421,217022,140000,140000,70000,70000,50000
233,National,2025-08-21,585,174202,61824,239541,206644,203585,247530,229203,140000,140000,70000,70000,50000
234,National,2025-08-22,575,167572,59607,233121,238282,200698,217068,222137,140000,140000,70000,70000,50000
235,National,2025-08-23,2863,153539,50215,200868,207146,222107,214999,247974,140000,140000,70000,70000,50000
236,National,2025-08-24,605,165288,54943,221158,219614,229573,205204,212495,140000,140000,70000,70000,50000
237,National,2025-08-25,596,178288,64765,248901,239678,204502,207933,213114,140000,140000,70000,70000,50000
238,National,2025-08-26,546,178072,63903,247210,207375,223277,232214,248813,140000,140000,70000,70000,50000
239,National,2025-08-27,493,180233,60205,248818,246302,205501,246934,208819,140000,140000,70000,70000,50000
240,National,2025-08-28,478,157950,55106,216418,232821,244279,235380,216321,140000,140000,70000,70000,50000
241,National,2025-08-29,493,155193,57502,218985,206180,229647,232414,236918,140000,140000,70000,70000,50000
242,National,2025-08-30,614,150895,51158,224925,246241,203886,227102,221566,140000,140000,70000,70000,50000
243,National,2025-08-31,755,155874,54642,246136,217019,225839,238452,211071,140000,140000,70000,70000,50000
244,National,2025-09-01,541,172507,63703,244585,213042,200975,222354,204950,140000,140000,70000,70000,50000
245,National,2025-09-02,624,166841,59582,242893,225447,237728,229771,231269,140000,140000,70000,70000,50000
246,National,2025-09-03,695,160100,59961,237768,242562,230833,230042,203786,140000,140000,70000,70000,50000
247,National,2025-09-04,483,160521,60643,212721,219795,207605,229568,208041,140000,140000,70000,70000,50000
248,National,2025-09-05,561,158674,57980,241643,221394,215468,219842,205682,140000,140000,70000,70000,50000
249,National,2025-09-06,710,156974,50808,218000,239485,240846,211342,220758,140000,140000,70000,70000,50000
250,National,2025-09-07,652,161321,52080,230578,238577,226368,244566,212610,140000,140000,70000,70000,50000
251,National,2025-09-08,547,175634,63307,209291,214686,241284,202888,246761,140000,140000,70000,70000,50000
252,National,2025-09-09,573,171894,59000,237996,207602,221094,244635,240847,140000,140000,70000,70000,50000
253,National,2025-09-10,560,163907,56711,245674,209511,249762,206671,247854,140000,140000,70000,70000,50000
254,National,2025-09-11,581,162537,56505,215243,244971,207034,208037,227157,140000,140000,70000,70000,50000
255,National,2025-09-12,566,164203,56979,248557,216730,215380,217013,237981,140000,140000,70000,70000,50000
256,National,2025-09-13,701,152453,49271,232709,203868,222692,215093,246342,140000,140000,70000,70000,50000
257,National,2025-09-14,733,158746,52302,233051,231547,248158,233899,209857,140000,140000,70000,70000,50000
258,National,2025-09-15,619,175824,62089,200961,235182,218263,237215,229926,140000,140000,70000,70000,50000
259,National,2025-09-16,597,163427,59168,223112,240352,224547,239067,202792,140000,140000,70000,70000,50000
260,National,2025-09-17,576,169387,58763,222805,212897,237071,230704,224082,140000,140000,70000,70000,50000
261,National,2025-09-18,606,170640,59264,223663,203927,229640,243607,245248,140000,140000,70000,70000,50000
262,National,2025-09-19,602,164311,55950,220382,231924,232179,223633,224813,140000,140000,70000,70000,50000
263,National,2025-09-20,624,153098,47505,204580,219138,230229,226120,244251,140000,140000,70000,70000,50000
264,National,2025-09-21,661,158045,51333,213822,241551,225580,228508,214785,140000,140000,70000,70000,50000
265,National,2025-09-22,570,168897,60144,214246,203509,223718,217962,215976,140000,140000,70000,70000,50000
266,National,2025-09-23,540,156895,52205,235301,235481,237976,225287,245314,140000,140000,70000,70000,50000
267,National,2025-09-24,628,156608,54205,201737,247461,239374,233300,202226,140000,140000,70000,70000,50000
268,National,2025-09-25,536,148821,52598,210398,249316,241128,208127,204251,140000,140000,70000,70000,50000
269,National,2025-09-26,601,154289,50124,248388,234288,237315,218997,231552,140000,140000,70000,70000,50000
270,National,2025-09-27,677,141367,43474,214652,211561,204799,235046,229509,140000,140000,70000,70000,50000
271,National,2025-09-28,638,139416,45402,235215,214406,238467,203889,217789,140000,140000,70000,70000,50000
272,National,2025-09-29,711,158901,51094,201086,217210,207363,236700,239821,140000,140000,70000,70000,50000
273,National,2025-09-30,535,154603,54927,234226,219424,247847,224808,218742,140000,140000,70000,70000,50000
274,National,2025-10-01,563,158249,54021,233037,226214,218759,247995,218221,140000,140000,70000,70000,50000
275,National,2025-10-02,602,178762,55144,227585,231217,217625,249854,241617,140000,140000,70000,70000,50000
276,National,2025-10-03,603,191912,50345,241123,240002,248608,241511,239649,140000,140000,70000,70000,50000
277,National,2025-10-04,706,170797,44045,237449,236691,227896,232065,222271,140000,140000,70000,70000,50000
278,National,2025-10-05,720,159110,45158,213428,244765,201761,214161,228588,140000,140000,70000,70000,50000
279,National,2025-10-06,679,151258,45848,202593,209421,218216,203550,205795,140000,140000,70000,70000,50000
280,National,2025-10-07,713,180975,58800,243670,220108,209357,216928,221992,140000,140000,70000,70000,50000
281,National,2025-10-08,643,163165,56413,234251,206855,234683,243216,226408,140000,140000,70000,70000,50000
